surah_number,ayah_number,word_number,word_number_all,uthmani,nastaleeq,indopak,dk_indopak,qpc_v1,dk_v2,dk_v1,qpc_hafs,is_ayah_marker
7,156,7,22783,'وَفِى','وَّفِي','وَّفِی','وَّفِي','ﭘ','وَفِي','وَفِي','وَفِي',0
7,156,8,22784,'ٱلْـَٔاخِرَةِ','الْاٰخِرَةِ','الْاٰخِرَةِ','الْاٰخِرَةِ','ﭙ','ٱلْـَٔاخِرَةِ','ٱلْـَٔاخِرَةِ','ٱلۡأٓخِرَةِ',0
7,156,9,22785,'إِنَّا','اِنَّا','اِنَّا','اِنَّا','ﭚ','إِنَّا','إِنَّا','إِنَّا',0
7,156,10,22786,'هُدْنَآ','هُدْنَا٘','هُدْنَاۤ','هُدْنَا͏ٓ','ﭛ','هُدْنَآ','هُدْنَآ','هُدۡنَآ',0
7,156,11,22787,'إِلَيْكَ ۚ','اِلَيْكَﵧ','اِلَیْكَ ؕ','اِلَيْكَؕ','ﭜﭝ','إِلَيْكَۚ','إِلَيْكَۚ','إِلَيۡكَۚ',0
7,156,12,22788,'قَالَ','قَالَ','قَالَ','قَالَ','ﭞ','قَالَ','قَالَ','قَالَ',0
7,156,13,22789,'عَذَابِىٓ','عَذَابِيْ٘','عَذَابِیْۤ','عَذَابِيْٓ','ﭟ','عَذَابِيٓ','عَذَابِيٓ','عَذَابِيٓ',0
7,156,14,22790,'أُصِيبُ','اُصِيْبُ','اُصِیْبُ','اُصِيْبُ','ﭠ','أُصِيبُ','أُصِيبُ','أُصِيبُ',0
7,156,15,22791,'بِهِۦ','بِهٖ','بِهٖ','بِهٖ','ﭡ','بِهِۦ','بِهِۦ','بِهِۦ',0
7,156,16,22792,'مَنْ','مَنْ','مَنْ','مَنْ','ﭢ','مَنْ','مَنْ','مَنۡ',0
7,156,17,22793,'أَشَآءُ ۖ','اَشَآءُﵐ','اَشَآءُ ۚ','اَشَا࢜ءُۚ','ﭣﭤ','أَشَآءُۖ','أَشَآءُۖ','أَشَآءُۖ',0
7,156,18,22794,'وَرَحْمَتِى','وَرَحْمَتِيْ','وَرَحْمَتِیْ','وَرَحْمَتِيْ','ﭥ','وَرَحْمَتِي','وَرَحْمَتِي','وَرَحۡمَتِي',0
7,156,19,22795,'وَسِعَتْ','وَسِعَتْ','وَسِعَتْ','وَسِعَتْ','ﭦ','وَسِعَتْ','وَسِعَتْ','وَسِعَتۡ',0
7,156,20,22796,'كُلَّ','كُلَّ','كُلَّ','كُلَّ','ﭧ','كُلَّ','كُلَّ','كُلَّ',0
7,156,21,22797,'شَىْءٍۢ ۚ','شَيْءٍﵧ','شَیْءٍ ؕ','شَيْءٍؕ','ﭨﭩ','شَيْءࣲۚ','شَيْءࣲۚ','شَيۡءٖۚ',0
7,156,22,22798,'فَسَأَكْتُبُهَا','فَسَاَكْتُبُهَا','فَسَاَكْتُبُهَا','فَسَاَكْتُبُهَا','ﭪ','فَسَأَكْتُبُهَا','فَسَأَكْتُبُهَا','فَسَأَكۡتُبُهَا',0
7,156,23,22799,'لِلَّذِينَ','لِلَّذِيْنَ','لِلَّذِیْنَ','لِلَّذِيْنَ','ﭫ','لِلَّذِينَ','لِلَّذِينَ','لِلَّذِينَ',0
7,156,24,22800,'يَتَّقُونَ','يَتَّقُوْنَ','یَتَّقُوْنَ','يَتَّقُوْنَ','ﭬ','يَتَّقُونَ','يَتَّقُونَ','يَتَّقُونَ',0
7,156,25,22801,'وَيُؤْتُونَ','وَيُؤْتُوْنَ','وَیُؤْتُوْنَ','وَيُو͏ٔ͏ْتُوْنَ','ﭭ','وَيُؤْتُونَ','وَيُؤْتُونَ','وَيُؤۡتُونَ',0
7,156,26,22802,'ٱلزَّكَوٰةَ','الزَّكٰوةَ','الزَّكٰوةَ','الزَّكٰوةَ','ﭮ','ٱلزَّكَوٰةَ','ٱلزَّكَوٰةَ','ٱلزَّكَوٰةَ',0
7,156,27,22803,'وَٱلَّذِينَ','وَالَّذِيْنَ','وَالَّذِیْنَ','وَالَّذِيْنَ','ﭯ','وَٱلَّذِينَ','وَٱلَّذِينَ','وَٱلَّذِينَ',0
7,156,28,22804,'هُم','هُمْ','هُمْ','هُمْ','ﭰ','هُم','هُم','هُم',0
7,156,29,22805,'بِـَٔايَـٰتِنَا','بِاٰيٰتِنَا','بِاٰیٰتِنَا','بِاٰيٰتِنَا','ﭱ','بِـَٔايَٰتِنَا','بِـَٔايَٰتِنَا','بِـَٔايَٰتِنَا',0
7,156,30,22806,'يُؤْمِنُونَ','يُؤْمِنُوْنَ','یُؤْمِنُوْنَ','يُو͏ٔ͏ْمِنُوْنَ','ﭲ','يُؤْمِنُونَ','يُؤْمِنُونَ','يُؤۡمِنُونَ',0
7,156,31,22807,'١٥٦','١٥٦ﶔ','۟ۚ','۝١٥٦ۚ','ﭳ','۝١٥٦','۝١٥٦','١٥٦',1
7,157,1,22808,'ٱلَّذِينَ','اَلَّذِيْنَ','اَلَّذِیْنَ','اَلَّذِيْنَ','ﭴ','ٱلَّذِينَ','ٱلَّذِينَ','ٱلَّذِينَ',0
7,157,2,22809,'يَتَّبِعُونَ','يَتَّبِعُوْنَ','یَتَّبِعُوْنَ','يَتَّبِعُوْنَ','ﭵ','يَتَّبِعُونَ','يَتَّبِعُونَ','يَتَّبِعُونَ',0
7,157,3,22810,'ٱلرَّسُولَ','الرَّسُوْلَ','الرَّسُوْلَ','الرَّسُوْلَ','ﭶ','ٱلرَّسُولَ','ٱلرَّسُولَ','ٱلرَّسُولَ',0
7,157,4,22811,'ٱلنَّبِىَّ','النَّبِيَّ','النَّبِیَّ','النَّبِيَّ','ﭷ','ٱلنَّبِيَّ','ٱلنَّبِيَّ','ٱلنَّبِيَّ',0
7,157,5,22812,'ٱلْأُمِّىَّ','الْاُمِّيَّ','الْاُمِّیَّ','الْاُمِّيَّ','ﭸ','ٱلْأُمِّيَّ','ٱلْأُمِّيَّ','ٱلۡأُمِّيَّ',0
7,157,6,22813,'ٱلَّذِى','الَّذِيْ','الَّذِیْ','الَّذِيْ','ﭹ','ٱلَّذِي','ٱلَّذِي','ٱلَّذِي',0
7,157,7,22814,'يَجِدُونَهُۥ','يَجِدُوْنَهٗ','یَجِدُوْنَهٗ','يَجِدُوْنَهٗ','ﭺ','يَجِدُونَهُۥ','يَجِدُونَهُۥ','يَجِدُونَهُۥ',0
7,157,8,22815,'مَكْتُوبًا','مَكْتُوْبًا','مَكْتُوْبًا','مَكْتُوْبًا','ﭻ','مَكْتُوبًا','مَكْتُوبًا','مَكۡتُوبًا',0
7,157,9,22816,'عِندَهُمْ','عِنْدَهُمْ','عِنْدَهُمْ','عِنْدَهُمْ','ﭼ','عِندَهُمْ','عِندَهُمْ','عِندَهُمۡ',0
7,157,10,22817,'فِى','فِي','فِی','فِي','ﭽ','فِي','فِي','فِي',0
7,157,11,22818,'ٱلتَّوْرَىٰةِ','التَّوْرٰىةِ','التَّوْرٰىةِ','التَّوْرٰىةِ','ﭾ','ٱلتَّوْرَىٰةِ','ٱلتَّوْرَىٰةِ','ٱلتَّوۡرَىٰةِ',0
7,157,12,22819,'وَٱلْإِنجِيلِ','وَالْاِنْجِيْلِﵟ','وَالْاِنْجِیْلِ ؗ','وَالْاِنْجِيْلِؗ','ﭿ','وَٱلْإِنجِيلِ','وَٱلْإِنجِيلِ','وَٱلۡإِنجِيلِ',0
7,157,13,22820,'يَأْمُرُهُم','يَاْمُرُهُمْ','یَاْمُرُهُمْ','يَاْمُرُهُمْ','ﮀ','يَأْمُرُهُم','يَأْمُرُهُم','يَأۡمُرُهُم',0
7,157,14,22821,'بِٱلْمَعْرُوفِ','بِالْمَعْرُوْفِ','بِالْمَعْرُوْفِ','بِالْمَعْرُوْفِ','ﮁ','بِٱلْمَعْرُوفِ','بِٱلْمَعْرُوفِ','بِٱلۡمَعۡرُوفِ',0
7,157,15,22822,'وَيَنْهَىٰهُمْ','وَيَنْهٰىهُمْ','وَیَنْهٰىهُمْ','وَيَنْهٰىهُمْ','ﮂ','وَيَنْهَىٰهُمْ','وَيَنْهَىٰهُمْ','وَيَنۡهَىٰهُمۡ',0
7,157,16,22823,'عَنِ','عَنِ','عَنِ','عَنِ','ﮃ','عَنِ','عَنِ','عَنِ',0
7,157,17,22824,'ٱلْمُنكَرِ','الْمُنْكَرِ','الْمُنْكَرِ','الْمُنْكَرِ','ﮄ','ٱلْمُنكَرِ','ٱلْمُنكَرِ','ٱلۡمُنكَرِ',0
7,157,18,22825,'وَيُحِلُّ','وَيُحِلُّ','وَیُحِلُّ','وَيُحِلُّ','ﮅ','وَيُحِلُّ','وَيُحِلُّ','وَيُحِلُّ',0
7,157,19,22826,'لَهُمُ','لَهُمُ','لَهُمُ','لَهُمُ','ﮆ','لَهُمُ','لَهُمُ','لَهُمُ',0
7,157,20,22827,'ٱلطَّيِّبَـٰتِ','الطَّيِّبٰتِ','الطَّیِّبٰتِ','الطَّيِّبٰتِ','ﮇ','ٱلطَّيِّبَٰتِ','ٱلطَّيِّبَٰتِ','ٱلطَّيِّبَٰتِ',0
7,157,21,22828,'وَيُحَرِّمُ','وَيُحَرِّمُ','وَیُحَرِّمُ','وَيُحَرِّمُ','ﮈ','وَيُحَرِّمُ','وَيُحَرِّمُ','وَيُحَرِّمُ',0
